dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
galar_pathology,hcea_nosup,8,17946,0.001716,1,0.1531,0.0500,0.0659,0.0739,0.0944
galar_pathology,hcea_nosup,9,7389,0.000706,1,0.0400,0.1382,0.0711,0.0559,0.0503
galar_pathology,hcea_nosup,10,180,0.000017,1,0.0016,0.0060,0.0133,0.0025,0.0056
galar_pathology,hcea_nosup,11,42,0.000004,1,0.0000,0.0417,0.0932,0.0000,0.0000
galar_pathology,conda,0,8960238,0.856549,0,0.9304,0.9281,0.0192,0.9292,0.0199
galar_pathology,conda,1,1120725,0.107135,0,0.5805,0.5953,0.1243,0.5866,0.1124
galar_pathology,conda,2,99474,0.009509,0,0.0800,0.0801,0.0645,0.0595,0.0375
galar_pathology,conda,3,85713,0.008194,0,0.3608,0.5066,0.2793,0.4113,0.1845
galar_pathology,conda,4,48924,0.004677,0,0.0816,0.0505,0.0085,0.0587,0.0178
galar_pathology,conda,5,43701,0.004178,0,0.0471,0.0837,0.0665,0.0531,0.0311
galar_pathology,conda,6,43533,0.004162,0,0.0358,0.0407,0.0112,0.0361,0.0182
galar_pathology,conda,7,32997,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,conda,8,17946,0.001716,1,0.2128,0.0220,0.0296,0.0397,0.0533
galar_pathology,conda,9,7389,0.000706,1,0.0670,0.0775,0.0558,0.0585,0.0570
galar_pathology,conda,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,conda,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
